index,simulator,arm,group_bin,mean,std,count,mcse,x_mean
57,raised_floor_gauss,plugin_sd_nw,7,1.1144685570173751,0.05364653381984337,50,0.007586765570232941,4.735234106853218
58,raised_floor_gauss,plugin_sd_nw,8,0.934653792202457,0.05319293382651279,50,0.007522616843986895,5.349046594435866
59,raised_floor_gauss,plugin_sd_nw,9,0.7629136640314529,0.052152507009698854,50,0.007375478272487402,5.964820063881124
60,raised_floor_t3,fixed,0,0.029997001334223953,0.0008359375211640789,50,0.00011821941797267866,0.324974204071027
61,raised_floor_t3,fixed,1,0.048119286372362124,0.002784765574520858,50,0.00039382532435171014,0.9517317380726279
62,raised_floor_t3,fixed,2,0.08872083745605082,0.0072591537070725845,50,0.0010265993623892978,1.5886705339887326
63,raised_floor_t3,fixed,3,0.19154540758797342,0.021880228274472245,50,0.003094331557357791,2.213173856584218
64,raised_floor_t3,fixed,4,0.41007163907718286,0.02860702406466421,50,0.004045644141138163,2.839620544571211
65,raised_floor_t3,fixed,5,0.4044650599238146,0.03312407111481146,50,0.004684451061157725,3.460547455138051
66,raised_floor_t3,fixed,6,0.1883584997876776,0.025962534960562916,50,0.00367165690548137,4.084960663745913
67,raised_floor_t3,fixed,7,0.08729168196148271,0.009298839141835501,50,0.0013150544428709558,4.710927159222216
68,raised_floor_t3,fixed,8,0.04787080746243088,0.0036246163185112076,50,0.0005125981556037387,5.340147738661221
69,raised_floor_t3,fixed,9,0.029780074935777823,0.0010551078014622967,50,0.0001492147762593639,5.969330779272342
70,raised_floor_t3,oracle,0,1.0,0.0,50,0.0,0.324974204071027
71,raised_floor_t3,oracle,1,1.0,0.0,50,0.0,0.9517317380726279
72,raised_floor_t3,oracle,2,1.0,0.0,50,0.0,1.5886705339887326
73,raised_floor_t3,oracle,3,1.0,0.0,50,0.0,2.213173856584218
74,raised_floor_t3,oracle,4,1.0,0.0,50,0.0,2.839620544571211
75,raised_floor_t3,oracle,5,1.0,0.0,50,0.0,3.460547455138051
76,raised_floor_t3,oracle,6,1.0,0.0,50,0.0,4.084960663745913
77,raised_floor_t3,oracle,7,1.0,0.0,50,0.0,4.710927159222216
78,raised_floor_t3,oracle,8,1.0,0.0,50,0.0,5.340147738661221
79,raised_floor_t3,oracle,9,1.0,0.0,50,0.0,5.969330779272342
80,raised_floor_t3,plugin_sd_nw,0,0.6877372306076439,0.0637564970461564,50,0.009016530281207455,0.324974204071027
81,raised_floor_t3,plugin_sd_nw,1,0.8391700320984026,0.0680591785547496,50,0.009625021335609898,0.9517317380726279
82,raised_floor_t3,plugin_sd_nw,2,0.99855256354337,0.07720829385375745,50,0.010918901629567107,1.5886705339887326
83,raised_floor_t3,plugin_sd_nw,3,1.2416578486581389,0.1065318340930201,50,0.015065876459882948,2.213173856584218
84,raised_floor_t3,plugin_sd_nw,4,1.7091325425063593,0.1509142852613013,50,0.021342502897237436,2.839620544571211
85,raised_floor_t3,plugin_sd_nw,5,1.7149173568928955,0.18341217214926137,50,0.025938398135779427,3.460547455138051
86,raised_floor_t3,plugin_sd_nw,6,1.2587890052647948,0.15327197766625217,50,0.021675930954735995,4.084960663745913
87,raised_floor_t3,plugin_sd_nw,7,1.010253859702112,0.12738717232476918,50,0.018015266677404714,4.710927159222216
88,raised_floor_t3,plugin_sd_nw,8,0.8442741678989126,0.12026189798517757,50,0.017007600716736772,5.340147738661221
89,raised_floor_t3,plugin_sd_nw,9,0.688001140391183,0.10531878718018442,50,0.014894325720290246,5.969330779272342
