index,simulator,arm,group_bin,mean,std,count,mcse,x_mean
18,mm1_sojourn,oracle,8,0.9064,0.028266949042358016,50,0.0039975502702611874,0.7782930231816384
19,mm1_sojourn,oracle,9,0.9046000000000001,0.028154819792550977,50,0.003981692799679604,0.8594340097221079
20,mm1_sojourn,plugin_sd_nw,0,0.9122,0.03315332347054904,50,0.00468858796897927,0.13992371061639625
21,mm1_sojourn,plugin_sd_nw,1,0.8928,0.03319945905632581,50,0.004695112526090624,0.218425684035836
22,mm1_sojourn,plugin_sd_nw,2,0.8974,0.03556023920398875,50,0.005028977256351232,0.2987462705211413
23,mm1_sojourn,plugin_sd_nw,3,0.8944,0.03796668786917161,50,0.005369300490296855,0.3789648261900551
24,mm1_sojourn,plugin_sd_nw,4,0.9026000000000001,0.03008898367800929,50,0.004255224879546343,0.45772101191625353
25,mm1_sojourn,plugin_sd_nw,5,0.8966,0.03606173844383875,50,0.0050998999590028,0.5362018238697973
26,mm1_sojourn,plugin_sd_nw,6,0.9062,0.02947776747839301,50,0.004168785855642395,0.6151927929290872
27,mm1_sojourn,plugin_sd_nw,7,0.903,0.029224675064969702,50,0.004132993183282696,0.6972971200082506
28,mm1_sojourn,plugin_sd_nw,8,0.9066,0.028898838335525822,50,0.004086912911092814,0.7782930231816384
29,mm1_sojourn,plugin_sd_nw,9,0.8728,0.03686932246157381,50,0.005214109586066467,0.8594340097221079
30,raised_floor_gauss,fixed,0,0.8556,0.03747979047270077,50,0.005300442800139534,0.3071861850339204
31,raised_floor_gauss,fixed,1,0.8702,0.046794819179486274,50,0.006617786793242612,0.9331137665252216
32,raised_floor_gauss,fixed,2,0.8676,0.04451828333415841,50,0.0062958360064734945,1.569814365938953
33,raised_floor_gauss,fixed,3,0.9222,0.033883955627694806,50,0.0047919149595534154,2.2191011939187306
34,raised_floor_gauss,fixed,4,0.995,0.008390957231764813,50,0.00118666055184544,2.8526854164427875
35,raised_floor_gauss,fixed,5,0.9952,0.009527618286018908,50,0.0013474086997201842,3.4864969210007986
36,raised_floor_gauss,fixed,6,0.9168000000000001,0.03798173567516312,50,0.005371428571428571,4.119582373969873
37,raised_floor_gauss,fixed,7,0.8728,0.04620451431253383,50,0.006534305078364712,4.735234106853218
38,raised_floor_gauss,fixed,8,0.8556,0.05111651356639724,50,0.007228966674682728,5.349046594435866
39,raised_floor_gauss,fixed,9,0.858,0.042474482135195744,50,0.006006798869036756,5.964820063881124
40,raised_floor_gauss,oracle,0,0.8865999999999999,0.027745931858452293,50,0.003923867313490296,0.3071861850339204
41,raised_floor_gauss,oracle,1,0.8926000000000001,0.03262714532785388,50,0.0046141751424168915,0.9331137665252216
42,raised_floor_gauss,oracle,2,0.8818,0.040289260228948354,50,0.005697761823375771,1.569814365938953
43,raised_floor_gauss,oracle,3,0.8865999999999999,0.03793711230175433,50,0.005365117873441216,2.2191011939187306
44,raised_floor_gauss,oracle,4,0.9564,0.021069370359527568,50,0.002979658931310558,2.8526854164427875
45,raised_floor_gauss,oracle,5,0.9564,0.026784095189161045,50,0.0037878430672403517,3.4864969210007986
46,raised_floor_gauss,oracle,6,0.8909999999999999,0.03991061441342571,50,0.005644213218610976,4.119582373969873
47,raised_floor_gauss,oracle,7,0.8862000000000001,0.0369715831306109,50,0.005228571428571426,4.735234106853218
48,raised_floor_gauss,oracle,8,0.88,0.037307328163430284,50,0.005276052946462684,5.349046594435866
49,raised_floor_gauss,oracle,9,0.8859999999999999,0.03232488142567075,50,0.004571428571428572,5.964820063881124
50,raised_floor_gauss,plugin_sd_nw,0,0.8016,0.04320619759020783,50,0.006110279061064364,0.3071861850339204
51,raised_floor_gauss,plugin_sd_nw,1,0.8658,0.03720269904625916,50,0.005261256154810432,0.9331137665252216
52,raised_floor_gauss,plugin_sd_nw,2,0.9036,0.04049489763777504,50,0.0057268433446251675,1.569814365938953
53,raised_floor_gauss,plugin_sd_nw,3,0.9545999999999999,0.02269675873649929,50,0.0032098064027067325,2.2191011939187306
54,raised_floor_gauss,plugin_sd_nw,4,0.9937999999999999,0.0080533932511174,50,0.0011389217958854179,2.8526854164427875
55,raised_floor_gauss,plugin_sd_nw,5,0.991,0.012330483215451472,50,0.0017437936593905283,3.4864969210007986
56,raised_floor_gauss,plugin_sd_nw,6,0.9478,0.0247674902125462,50,0.0035026520564525724,4.119582373969873
57,raised_floor_gauss,plugin_sd_nw,7,0.9078,0.03400420142108493,50,0.004808920282736478,4.735234106853218
58,raised_floor_gauss,plugin_sd_nw,8,0.8498,0.04613600125980685,50,0.006524615869528105,5.349046594435866
59,raised_floor_gauss,plugin_sd_nw,9,0.8034,0.04128596144266106,50,0.005838716660782394,5.964820063881124
60,raised_floor_t3,fixed,0,0.868,0.05018333734357231,50,0.007096995627642416,0.324974204071027
61,raised_floor_t3,fixed,1,0.8692,0.0431343416383214,50,0.006100117094894863,0.9517317380726279
62,raised_floor_t3,fixed,2,0.8448,0.03388094401499075,50,0.0047914890532003455,1.5886705339887326
63,raised_floor_t3,fixed,3,0.9298000000000001,0.029999319720178125,50,0.004242544481024254,2.213173856584218
64,raised_floor_t3,fixed,4,0.9937999999999999,0.008302937763840225,50,0.0011742127193162585,2.839620544571211
65,raised_floor_t3,fixed,5,0.9944,0.008369039151929578,50,0.0011835608672690235,3.460547455138051
66,raised_floor_t3,fixed,6,0.9523999999999999,0.028396608018190727,50,0.00401588681847179,4.084960663745913
67,raised_floor_t3,fixed,7,0.8392000000000001,0.045572995942593814,50,0.0064449948939990205,4.710927159222216
68,raised_floor_t3,fixed,8,0.8658,0.04794086493391882,50,0.006779862138144472,5.340147738661221
69,raised_floor_t3,fixed,9,0.8662000000000001,0.04530576392577394,50,0.006407202579750322,5.969330779272342
70,raised_floor_t3,oracle,0,0.8815999999999999,0.03272395365565025,50,0.00462786590742892,0.324974204071027
71,raised_floor_t3,oracle,1,0.8782,0.03788758883533103,50,0.00535811419765406,0.9517317380726279
72,raised_floor_t3,oracle,2,0.8762000000000001,0.03343528626087924,50,0.004728463529196224,1.5886705339887326
73,raised_floor_t3,oracle,3,0.8898,0.030202716461150532,50,0.004271309123986821,2.213173856584218
74,raised_floor_t3,oracle,4,0.9693999999999999,0.0183403202518052,50,0.0025937129638368846,2.839620544571211
75,raised_floor_t3,oracle,5,0.9743999999999999,0.020618992631621418,50,0.002915965902210992,3.460547455138051
76,raised_floor_t3,oracle,6,0.9057999999999999,0.0347051722311219,50,0.004908052525374671,4.084960663745913
77,raised_floor_t3,oracle,7,0.8715999999999999,0.0336464208000355,50,0.0047583224620722404,4.710927159222216
78,raised_floor_t3,oracle,8,0.8768,0.03622154055254969,50,0.005122499389946282,5.340147738661221
79,raised_floor_t3,oracle,9,0.8774,0.035731995609034804,50,0.00505326728009529,5.969330779272342
80,raised_floor_t3,plugin_sd_nw,0,0.8222,0.0447345914642057,50,0.006326426595589939,0.324974204071027
81,raised_floor_t3,plugin_sd_nw,1,0.8648,0.04334201901440332,50,0.006129487111080174,0.9517317380726279
82,raised_floor_t3,plugin_sd_nw,2,0.8957999999999999,0.028218534942227515,50,0.003990703482559723,1.5886705339887326
83,raised_floor_t3,plugin_sd_nw,3,0.9336,0.024641097245646084,50,0.003484777391654701,2.213173856584218
84,raised_floor_t3,plugin_sd_nw,4,0.9834,0.01559827305982877,50,0.002205928931080872,2.839620544571211
85,raised_floor_t3,plugin_sd_nw,5,0.9842,0.013863768666298968,50,0.0019606329673483155,3.460547455138051
86,raised_floor_t3,plugin_sd_nw,6,0.9438,0.0250623711763191,50,0.003544354522277901,4.084960663745913
87,raised_floor_t3,plugin_sd_nw,7,0.8922,0.034951278041506516,50,0.004942857142857146,4.710927159222216
88,raised_floor_t3,plugin_sd_nw,8,0.8682,0.04851635533192778,50,0.006861248770732449,5.340147738661221
89,raised_floor_t3,plugin_sd_nw,9,0.8214,0.04476742620454735,50,0.0063310701291007555,5.969330779272342
