macrorep,simulator,budget,comparison,delta_coverage,delta_coverage_interval,delta_width,delta_interval_score,delta_mean_group_coverage_gap,delta_worst_group_coverage_gap
0,raised_floor_gauss,250,plugin_sd_nw_minus_oracle,-0.0030000000000000027,-0.0030000000000000027,-0.1538367705867354,0.3744326460450962,0.063,0.1100000000000001
0,raised_floor_gauss,250,plugin_sd_nw_minus_fixed,-0.007000000000000006,-0.008000000000000007,-0.08635745607349365,0.23146028660460516,0.024999999999999994,0.06
0,raised_floor_gauss,250,oracle_minus_fixed,-0.0040000000000000036,-0.0050000000000000044,0.06747931451324174,-0.14297235944049103,-0.038,-0.0500000000000001
0,raised_floor_gauss,500,plugin_sd_nw_minus_oracle,0.009000000000000008,0.008000000000000007,-0.157853657563523,0.22824794527936687,0.039,0.029999999999999888
0,raised_floor_gauss,500,plugin_sd_nw_minus_fixed,0.008000000000000007,0.007000000000000006,-0.11302875325668582,0.01871723391897362,0.0199999999999999,0.0
0,raised_floor_gauss,500,oracle_minus_fixed,-0.0010000000000000009,-0.0010000000000000009,0.044824904306837166,-0.20953071136039325,-0.0190000000000001,-0.029999999999999888
0,raised_floor_gauss,1000,plugin_sd_nw_minus_oracle,-0.0040000000000000036,0.0,-0.12141054954562769,0.20959266015054467,0.0479999999999999,0.07000000000000009
0,raised_floor_gauss,1000,plugin_sd_nw_minus_fixed,0.0050000000000000044,0.0050000000000000044,-0.062178405808756665,0.09804429734466913,0.0289999999999999,0.0500000000000001
0,raised_floor_gauss,1000,oracle_minus_fixed,0.009000000000000008,0.0050000000000000044,0.059232143736871024,-0.11154836280587554,-0.018999999999999996,-0.01999999999999999
0,raised_floor_t3,100,plugin_sd_nw_minus_oracle,-0.0040000000000000036,0.0050000000000000044,-0.03439218451580284,0.2890454012987851,0.025999999999999905,0.04000000000000009
0,raised_floor_t3,100,plugin_sd_nw_minus_fixed,0.008000000000000007,0.0010000000000000009,-0.6146293030573404,-0.08813131104549843,-0.013999999999999999,-0.14
0,raised_floor_t3,100,oracle_minus_fixed,0.01200000000000001,-0.0040000000000000036,-0.5802371185415376,-0.3771767123442835,-0.039999999999999904,-0.1800000000000001
0,raised_floor_t3,250,plugin_sd_nw_minus_oracle,0.0,0.0020000000000000018,-0.1432376868483074,0.2564123284540103,0.021999999999999895,0.060000000000000095
0,raised_floor_t3,250,plugin_sd_nw_minus_fixed,-0.010000000000000009,-0.007000000000000006,-0.402576427297465,0.013646908326896412,0.023999999999999896,0.0500000000000001
0,raised_floor_t3,250,oracle_minus_fixed,-0.010000000000000009,-0.009000000000000008,-0.2593387404491576,-0.24276542012711388,0.0020000000000000018,-0.009999999999999995
0,raised_floor_t3,500,plugin_sd_nw_minus_oracle,-0.0020000000000000018,0.0010000000000000009,-0.08771826874427524,0.2069595728642124,0.013999999999999999,0.050000000000000114
0,raised_floor_t3,500,plugin_sd_nw_minus_fixed,0.0020000000000000018,0.0,-0.12570807807669548,0.010327070843961117,0.0,0.03000000000000011
0,raised_floor_t3,500,oracle_minus_fixed,0.0040000000000000036,-0.0010000000000000009,-0.037989809332420243,-0.1966325020202513,-0.013999999999999999,-0.020000000000000004
0,raised_floor_t3,1000,plugin_sd_nw_minus_oracle,-0.006000000000000005,-0.008000000000000007,-0.0877346803158292,0.17490169871640715,0.024000000000000007,0.11
0,raised_floor_t3,1000,plugin_sd_nw_minus_fixed,-0.015000000000000013,-0.01100000000000001,-0.22630580451194549,-0.0035120469246407993,0.015000000000000006,0.09000000000000011
0,raised_floor_t3,1000,oracle_minus_fixed,-0.009000000000000008,-0.0030000000000000027,-0.13857112419611628,-0.17841374564104795,-0.009000000000000001,-0.019999999999999893
1,mm1_sojourn,100,plugin_sd_nw_minus_oracle,0.006000000000000005,0.0030000000000000027,0.12517884894812248,0.21147224205550152,0.005999999999999998,0.029999999999999902
1,mm1_sojourn,100,plugin_sd_nw_minus_fixed,-0.006000000000000005,0.05400000000000005,-1.4553461095493985,0.21401048947273082,-0.017999999999999905,-0.01999999999999999
1,mm1_sojourn,100,oracle_minus_fixed,-0.01200000000000001,0.051000000000000045,-1.580524958497521,0.0025382474172293,-0.023999999999999903,-0.04999999999999989
1,mm1_sojourn,250,plugin_sd_nw_minus_oracle,0.0040000000000000036,0.0,-0.337973268655797,0.3983456400788352,0.004,0.04999999999999989
1,mm1_sojourn,250,plugin_sd_nw_minus_fixed,0.017000000000000015,0.05700000000000005,-0.13225040947400668,1.8209918609315174,0.0029999999999998986,0.0399999999999999
1,mm1_sojourn,250,oracle_minus_fixed,0.013000000000000012,0.05700000000000005,0.20572285918179034,1.4226462208526822,-0.0010000000000001015,-0.009999999999999995
1,mm1_sojourn,500,plugin_sd_nw_minus_oracle,0.0010000000000000009,-0.0030000000000000027,-0.4085461198536606,0.07914047035803229,0.0030000000000001,0.0
