macrorep,simulator,budget,comparison,delta_max_pairwise_score_ks,delta_mean_pairwise_score_ks,delta_bin_mean_score_range
0,raised_floor_gauss,250,plugin_sd_nw_minus_fixed,0.05999999999999994,0.03533333333333327,-0.0340227848225797
0,raised_floor_gauss,250,oracle_minus_fixed,-0.18000000000000005,-0.1035555555555556,-0.10332892072756429
0,raised_floor_gauss,500,plugin_sd_nw_minus_oracle,0.17999999999999994,0.1075555555555556,0.047176754699215326
0,raised_floor_gauss,500,plugin_sd_nw_minus_fixed,0.0,0.01533333333333331,-0.047551670849967545
0,raised_floor_gauss,500,oracle_minus_fixed,-0.17999999999999994,-0.09222222222222229,-0.09472842554918287
0,raised_floor_gauss,1000,plugin_sd_nw_minus_oracle,0.18,0.07555555555555554,0.044952229586178755
0,raised_floor_gauss,1000,plugin_sd_nw_minus_fixed,-0.09000000000000008,-0.010000000000000037,-0.04346502865240161
0,raised_floor_gauss,1000,oracle_minus_fixed,-0.2700000000000001,-0.08555555555555558,-0.08841725823858036
0,raised_floor_t3,100,plugin_sd_nw_minus_oracle,0.27,0.15177777777777776,0.08075656147337754
0,raised_floor_t3,100,plugin_sd_nw_minus_fixed,0.07999999999999996,0.012888888888888839,-0.03793508007219851
0,raised_floor_t3,100,oracle_minus_fixed,-0.19000000000000006,-0.13888888888888892,-0.11869164154557604
0,raised_floor_t3,250,plugin_sd_nw_minus_oracle,0.13,0.07711111111111107,0.04830618373971511
0,raised_floor_t3,250,plugin_sd_nw_minus_fixed,-0.17000000000000004,-0.055555555555555636,-0.0956923233575109
0,raised_floor_t3,250,oracle_minus_fixed,-0.30000000000000004,-0.1326666666666667,-0.143998507097226
0,raised_floor_t3,500,plugin_sd_nw_minus_oracle,0.07999999999999996,0.07999999999999999,0.06300983890705178
0,raised_floor_t3,500,plugin_sd_nw_minus_fixed,-0.16000000000000003,-0.06022222222222223,-0.07268119966592368
0,raised_floor_t3,500,oracle_minus_fixed,-0.24,-0.14022222222222222,-0.13569103857297546
0,raised_floor_t3,1000,plugin_sd_nw_minus_oracle,0.15999999999999998,0.06644444444444447,0.04946268033215795
0,raised_floor_t3,1000,plugin_sd_nw_minus_fixed,-0.09000000000000008,-0.06555555555555559,-0.07797183609979663
0,raised_floor_t3,1000,oracle_minus_fixed,-0.25000000000000006,-0.13200000000000006,-0.12743451643195458
1,mm1_sojourn,100,plugin_sd_nw_minus_oracle,0.13,0.03111111111111106,0.035271876291188775
1,mm1_sojourn,100,plugin_sd_nw_minus_fixed,0.22999999999999998,0.047111111111111076,0.010806182520062144
1,mm1_sojourn,100,oracle_minus_fixed,0.09999999999999998,0.016000000000000014,-0.02446569377112663
1,mm1_sojourn,250,plugin_sd_nw_minus_oracle,0.13,0.03644444444444442,0.023491999980826142
