seed,dgp,arm,cov,size,ncomp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
20260916,gamma_ls,pcp,0.9015,1.1461,3.277,0.8762,0.9171,0.9029,0.9171,0.8612,0.8933,0.8883,0.9109,0.9137,0.9375
20260916,gamma_ls,pcp_scaled,0.9140,1.1803,3.538,0.8812,0.9268,0.9314,0.9463,0.9139,0.9200,0.8777,0.8960,0.9036,0.9427
20260917,gamma_ls,ET,0.8795,0.9144,1.000,0.8402,0.8598,0.8438,0.8894,0.8848,0.9015,0.8497,0.8960,0.8718,0.9493
20260917,gamma_ls,pcp,0.8860,1.0650,5.277,0.8814,0.8458,0.8698,0.8543,0.9162,0.8867,0.8912,0.9455,0.8974,0.8756
20260917,gamma_ls,pcp_scaled,0.8835,1.0669,5.019,0.8557,0.8551,0.8750,0.8643,0.9215,0.8768,0.8808,0.9406,0.8974,0.8710
20260918,gamma_ls,ET,0.8900,0.9420,1.000,0.9528,0.8667,0.9104,0.8465,0.9362,0.9153,0.8806,0.8770,0.8458,0.8711
20260918,gamma_ls,pcp,0.8855,1.1297,5.397,0.9057,0.9156,0.8557,0.8861,0.9043,0.8836,0.8806,0.8770,0.8955,0.8454
20260918,gamma_ls,pcp_scaled,0.8925,1.1564,4.163,0.9340,0.9200,0.8955,0.8861,0.9096,0.8836,0.8955,0.8717,0.9005,0.8196
20260919,gamma_ls,ET,0.9270,1.0182,1.000,0.9062,0.8743,0.9531,0.9048,0.9053,0.9709,0.9571,0.9146,0.9412,0.9356
20260919,gamma_ls,pcp,0.9180,1.1474,3.631,0.9271,0.8796,0.8967,0.9143,0.8947,0.9612,0.9000,0.9447,0.9465,0.9158
20260919,gamma_ls,pcp_scaled,0.9100,1.1292,4.383,0.8958,0.8796,0.8967,0.9048,0.8842,0.9515,0.9000,0.9347,0.9465,0.9059
20260920,gamma_ls,ET,0.8870,0.9681,1.000,0.9036,0.9630,0.8889,0.9242,0.9447,0.8289,0.8778,0.8788,0.7571,0.8879
20260920,gamma_ls,pcp,0.9015,1.1229,3.665,0.9239,0.9153,0.9179,0.9194,0.9296,0.8128,0.9095,0.9293,0.8644,0.8832
20260920,gamma_ls,pcp_scaled,0.9095,1.1596,3.941,0.9239,0.9418,0.9179,0.9668,0.9397,0.8075,0.9095,0.9242,0.8531,0.8972
20260921,gamma_ls,ET,0.9060,0.9479,1.000,0.8804,0.8939,0.9013,0.8660,0.8900,0.9592,0.9458,0.9116,0.9000,0.9162
20260921,gamma_ls,pcp,0.8910,1.0671,5.756,0.8708,0.8636,0.9148,0.8900,0.9250,0.8776,0.8916,0.8785,0.9000,0.8953
20260921,gamma_ls,pcp_scaled,0.8890,1.0716,5.353,0.8708,0.8636,0.8879,0.8708,0.9000,0.9031,0.9064,0.8950,0.9000,0.8953
20260922,gamma_ls,ET,0.8920,0.9104,1.000,0.7907,0.8654,0.8721,0.8453,0.8942,0.9518,0.9760,0.8615,0.9417,0.8918
20260922,gamma_ls,pcp,0.8850,1.0747,5.527,0.8779,0.8990,0.9132,0.8674,0.8466,0.8904,0.9327,0.8923,0.8689,0.8505
20260922,gamma_ls,pcp_scaled,0.8845,1.0791,4.875,0.8372,0.8654,0.8995,0.8674,0.8571,0.9123,0.9375,0.8872,0.8883,0.8763
20260923,gamma_ls,ET,0.9050,0.9034,1.000,0.8945,0.8608,0.9104,0.9537,0.9151,0.9104,0.9162,0.8242,0.9183,0.9327
20260923,gamma_ls,pcp,0.9105,1.1222,4.851,0.9246,0.8557,0.9403,0.8981,0.9009,0.9204,0.9218,0.9121,0.9135,0.9183
20260923,gamma_ls,pcp_scaled,0.9190,1.1511,4.048,0.9598,0.8711,0.9453,0.9120,0.9198,0.9353,0.9050,0.9011,0.9183,0.9183
20260924,gamma_ls,ET,0.9130,0.9760,1.000,0.9146,0.8821,0.8861,0.9781,0.9404,0.9128,0.9299,0.8785,0.9471,0.8585
20260924,gamma_ls,pcp,0.9280,1.1863,3.348,0.8995,0.9282,0.9307,0.9399,0.9312,0.9282,0.9626,0.9227,0.9519,0.8829
20260924,gamma_ls,pcp_scaled,0.9300,1.1930,3.462,0.9196,0.9282,0.9307,0.9563,0.9312,0.9385,0.9673,0.9227,0.9375,0.8683
20260925,gamma_ls,ET,0.9030,0.9755,1.000,0.8116,0.9130,0.9355,0.9361,0.9388,0.8610,0.8513,0.8900,0.9227,0.9694
20260925,gamma_ls,pcp,0.8940,1.1265,3.532,0.8502,0.8792,0.8925,0.9041,0.8929,0.8610,0.9128,0.8950,0.9275,0.9235
20260925,gamma_ls,pcp_scaled,0.8885,1.1122,4.003,0.8454,0.8792,0.8978,0.9132,0.8929,0.8449,0.8923,0.8850,0.9082,0.9235
20260926,gamma_ls,ET,0.8905,0.9481,1.000,0.9086,0.8756,0.9024,0.8410,0.8978,0.9200,0.9404,0.8190,0.9167,0.8821
20260926,gamma_ls,pcp,0.8900,1.0971,5.284,0.8333,0.9104,0.8976,0.8974,0.8817,0.9050,0.9220,0.8524,0.9118,0.8821
20260926,gamma_ls,pcp_scaled,0.8940,1.1070,4.946,0.8495,0.9055,0.9122,0.9128,0.8817,0.9000,0.9266,0.8476,0.9167,0.8821
20260927,gamma_ls,ET,0.8950,0.8895,1.000,0.8990,0.8817,0.9396,0.9167,0.8863,0.9112,0.8989,0.8274,0.9015,0.8889
20260927,gamma_ls,pcp,0.9050,1.1273,4.641,0.9135,0.8710,0.9121,0.9069,0.9336,0.9065,0.9043,0.9137,0.8719,0.9130
20260927,gamma_ls,pcp_scaled,0.9010,1.1416,3.821,0.8750,0.8710,0.9286,0.9363,0.9431,0.9159,0.9043,0.9086,0.8571,0.8696
20260928,gamma_ls,ET,0.9305,0.9879,1.000,0.9340,0.9363,0.9779,0.9196,0.9017,0.9669,0.9215,0.8874,0.9185,0.9397
20260928,gamma_ls,pcp,0.9195,1.1337,3.497,0.9292,0.9069,0.9336,0.8995,0.8960,0.9448,0.9424,0.8874,0.9076,0.9497
20260928,gamma_ls,pcp_scaled,0.9200,1.1411,3.497,0.9292,0.9314,0.9381,0.8995,0.8960,0.9392,0.9319,0.8745,0.9130,0.9497
20260929,gamma_ls,ET,0.9170,1.0222,1.000,0.9159,0.8744,0.9405,0.9072,0.9512,0.9171,0.9573,0.9083,0.8526,0.9424
20260929,gamma_ls,pcp,0.9330,1.2253,3.453,0.9299,0.9447,0.9135,0.9124,0.9512,0.9378,0.9289,0.9495,0.9158,0.9424
20260929,gamma_ls,pcp_scaled,0.9310,1.2162,3.330,0.9299,0.9598,0.9243,0.9072,0.9366,0.9326,0.9289,0.9358,0.9053,0.9476
20260930,gamma_ls,ET,0.9320,1.1038,1.000,0.9010,0.9137,0.9176,0.9394,0.9752,0.9269,0.9268,0.9559,0.9115,0.9474
20260930,gamma_ls,pcp,0.9330,1.2372,3.409,0.9323,0.9137,0.9451,0.9343,0.8960,0.9498,0.9171,0.9510,0.9635,0.9282
20260930,gamma_ls,pcp_scaled,0.9310,1.2445,3.178,0.9115,0.9137,0.9396,0.9343,0.9010,0.9498,0.9171,0.9608,0.9583,0.9234
20260931,gamma_ls,ET,0.9060,0.9880,1.000,0.9646,0.8879,0.8564,0.8066,0.9150,0.9150,0.9426,0.9010,0.9208,0.9427
20260931,gamma_ls,pcp,0.8955,1.0932,4.978,0.8586,0.9019,0.8762,0.8564,0.9150,0.9050,0.8900,0.9059,0.9158,0.9271
